# Menlo Systems GmbH ScanControl
# Program Version 1.3.3
# Start: -690.30000000 ps, Average over 10000 waveforms. Timestamp: 2020-02-17T17:16:37
# Window type: Tukey, parameters: alpha = 0.1
# User time axis shift: 0 ps
# Time [ps]	THz Signal [a.u.]
-690.36666667	0.00000000
-690.33333334	0.00000009
-690.30000000	0.00000029
-690.26666667	0.00000049
-690.23333333	0.00000067
-690.20000000	0.00000044
-690.16666667	0.00000015
-690.13333333	-0.00000028
-690.10000000	-0.00000083
-690.06666667	-0.00000221
-690.03333333	-0.00000363
-690.00000000	-0.00000496
-689.96666667	-0.00000678
-689.93333333	-0.00000775
-689.90000000	-0.00000917
-689.86666667	-0.00001071
-689.83333333	-0.00001050
-689.80000000	-0.00001018
-689.76666666	-0.00001036
-689.73333333	-0.00000917
-689.70000000	-0.00000873
-689.66666666	-0.00000749
-689.63333333	-0.00000381
-689.60000000	0.00000119
-689.56666666	0.00000413
-689.53333333	0.00000835
-689.50000000	0.00001507
-689.46666666	0.00002026
-689.43333333	0.00002910
-689.39999999	0.00003620
-689.36666666	0.00004531
-689.33333333	0.00005755
-689.29999999	0.00007417
-689.26666666	0.00008406
-689.23333333	0.00010446
-689.19999999	0.00012255
-689.16666666	0.00014435
-689.13333333	0.00016433
-689.09999999	0.00019654
-689.06666666	0.00022495
-689.03333333	0.00025072
-688.99999999	0.00027401
-688.96666666	0.00030099
-688.93333332	0.00033213
-688.89999999	0.00036351
-688.86666666	0.00039915
-688.83333332	0.00042618
-688.79999999	0.00046367
-688.76666666	0.00048493
-688.73333332	0.00050949
-688.69999999	0.00053430
-688.66666666	0.00057912
-688.63333332	0.00060412
-688.59999999	0.00063754
-688.56666666	0.00067815
-688.53333332	0.00068853
-688.49999999	0.00071599
-688.46666665	0.00074607
-688.43333332	0.00075725
-688.39999999	0.00078796
-688.36666665	0.00081495
-688.33333332	0.00081839
-688.29999999	0.00083325
-688.26666665	0.00084024
-688.23333332	0.00086150
-688.19999999	0.00085425
-688.16666665	0.00084631
-688.13333332	0.00086323
-688.09999998	0.00084247
-688.06666665	0.00084717
-688.03333332	0.00083484
-687.99999998	0.00083683
-687.96666665	0.00084888
-687.93333332	0.00083427
-687.89999998	0.00082654
-687.86666665	0.00083613
-687.83333332	0.00081099
-687.79999998	0.00081436
-687.76666665	0.00080833
-687.73333332	0.00083923
-687.69999998	0.00083573
-687.66666665	0.00083807
-687.63333331	0.00082891
-687.59999998	0.00085760
-687.56666665	0.00085358
-687.53333331	0.00085732
-687.49999998	0.00086062
-687.46666665	0.00087408
-687.43333331	0.00085766
-687.39999998	0.00084309
-687.36666665	0.00086858
-687.33333331	0.00087354
-687.29999998	0.00087695
-687.26666664	0.00086680
-687.23333331	0.00085956
-687.19999998	0.00092374
-687.16666664	0.00093831
-687.13333331	0.00094150
-687.09999998	0.00099622
-687.06666664	0.00099486
-687.03333331	0.00107166
-686.99999998	0.00107406
-686.96666664	0.00111209
-686.93333331	0.00111409
-686.89999998	0.00121183
-686.86666664	0.00120486
-686.83333331	0.00125621
-686.79999997	0.00127286
-686.76666664	0.00126698
-686.73333331	0.00124629
-686.69999997	0.00122206
-686.66666664	0.00123394
-686.63333331	0.00122645
-686.59999997	0.00120196
-686.56666664	0.00116767
-686.53333331	0.00114160
-686.49999997	0.00113565
-686.46666664	0.00110127
-686.43333331	0.00107774
-686.39999997	0.00108073
-686.36666664	0.00104417
-686.33333330	0.00101103
-686.29999997	0.00106136
-686.26666664	0.00102391
-686.23333330	0.00104506
-686.19999997	0.00100866
-686.16666664	0.00103418
-686.13333330	0.00105105
-686.09999997	0.00106618
-686.06666664	0.00109751
-686.03333330	0.00105865
-685.99999997	0.00103127
-685.96666663	0.00107131
-685.93333330	0.00100903
-685.89999997	0.00096303
-685.86666663	0.00095554
-685.83333330	0.00095485
-685.79999997	0.00090909
-685.76666663	0.00091675
-685.73333330	0.00087886
-685.69999997	0.00087116
-685.66666663	0.00086671
-685.63333330	0.00087886
-685.59999997	0.00086558
-685.56666663	0.00085900
-685.53333330	0.00087970
-685.49999996	0.00090085
-685.46666663	0.00095153
-685.43333330	0.00098402
-685.39999996	0.00099672
-685.36666663	0.00103844
-685.33333330	0.00104063
-685.29999996	0.00107492
-685.26666663	0.00113318
-685.23333330	0.00110250
-685.19999996	0.00117323
-685.16666663	0.00118981
-685.13333330	0.00127110
-685.09999996	0.00121473
-685.06666663	0.00131548
-685.03333329	0.00132379
-684.99999996	0.00134575
-684.96666663	0.00133867
-684.93333329	0.00137523
-684.89999996	0.00137194
-684.86666663	0.00138116
-684.83333329	0.00141520
-684.79999996	0.00146748
-684.76666663	0.00152488
-684.73333329	0.00149463
-684.69999996	0.00154095
-684.66666662	0.00156296
-684.63333329	0.00160807
-684.59999996	0.00160553
-684.56666662	0.00162209
-684.53333329	0.00164088
-684.49999996	0.00161266
-684.46666662	0.00158607
-684.43333329	0.00158937
-684.39999996	0.00156641
-684.36666662	0.00153151
-684.33333329	0.00149478
-684.29999996	0.00144845
-684.26666662	0.00140828
-684.23333329	0.00134036
-684.19999995	0.00126159
-684.16666662	0.00117136
-684.13333329	0.00109274
-684.09999995	0.00100524
-684.06666662	0.00088895
-684.03333329	0.00079137
-683.99999995	0.00075840
-683.96666662	0.00065455
